T08,"Teaching staff at the primary, lower secondary and upper secondary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
419,Latin America & the Caribbean,2022,Teachers at upper secondary level,"2,092,479",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2022,Teachers with minimum required qualifications at upper secondary level,73.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2005,Teachers at primary level,"242,661",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2005,Teachers with minimum required qualifications at primary level,94.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2010,Teachers at primary level,"225,484",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2010,Teachers with minimum required qualifications at primary level,96.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2015,Teachers at primary level,"252,032",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2015,Teachers with minimum required qualifications at primary level,99.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2015,Teachers at lower secondary level,"555,888",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2015,Teachers at upper secondary level,"241,199",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2018,Teachers at primary level,"265,238",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2018,Teachers with minimum required qualifications at primary level,98.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2018,Teachers at lower secondary level,"597,175",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2018,Teachers with minimum required qualifications at lower secondary level,93.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2018,Teachers at upper secondary level,"250,777",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2018,Teachers with minimum required qualifications at upper secondary level,99.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2022,Teachers at primary level,"302,004",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
143,Central Asia,2022,Teachers with minimum required qualifications at primary level,94.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2005,Teachers at primary level,"6,633,349",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2005,Teachers at lower secondary level,"4,144,468",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2005,Teachers at upper secondary level,"2,512,553",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2010,Teachers at primary level,"6,663,567",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2010,Teachers at lower secondary level,"4,114,815",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2010,Teachers at upper secondary level,"3,315,633",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2015,Teachers at primary level,"6,577,011",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2015,Teachers at lower secondary level,"4,034,653",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2015,Teachers at upper secondary level,"3,246,236",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2022,Teachers at primary level,"7,416,904",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2022,Teachers at lower secondary level,"4,485,418",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
30,Eastern Asia,2022,Teachers at upper secondary level,"3,596,346",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2005,Teachers at primary level,"4,919,128",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2005,Teachers at lower secondary level,"2,802,959",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2005,Teachers at upper secondary level,"2,165,628",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2010,Teachers at primary level,"5,552,573",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2010,Teachers at lower secondary level,"3,242,259",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2010,Teachers at upper secondary level,"3,225,281",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2015,Teachers at primary level,"6,307,102",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2015,Teachers with minimum required qualifications at primary level,72.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2015,Teachers at lower secondary level,"3,649,646",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2015,Teachers with minimum required qualifications at lower secondary level,84.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2015,Teachers at upper secondary level,"2,886,954",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2022,Teachers at primary level,"6,729,956",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2022,Teachers with minimum required qualifications at primary level,85.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2022,Teachers at lower secondary level,"5,115,535",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2022,Teachers with minimum required qualifications at lower secondary level,84.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2022,Teachers at upper secondary level,"4,342,658",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
62,South-central Asia,2022,Teachers with minimum required qualifications at upper secondary level,93.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
35,South-eastern Asia,2005,Teachers at primary level,"2,937,432",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
